date,start_est,away_rest,away_team,home_team,home_rest,arena
28-Jan-20,8:00pm,1,Washington Wizards,Milwaukee Bucks,3,Fiserv Forum
28-Jan-20,8:30pm,1,Phoenix Suns,Dallas Mavericks,0,American Airlines Center
28-Jan-20,10:00pm,1,Los Angeles Clippers,Los Angeles Lakers,2,Staples Center
29-Jan-20,7:00pm,1,Chicago Bulls,Indiana Pacers,2,Bankers Life Fieldhouse
29-Jan-20,7:30pm,1,Detroit Pistons,Brooklyn Nets,2,Barclays Center
29-Jan-20,7:30pm,0,Memphis Grizzlies,New York Knicks,0,Madison Square Garden
29-Jan-20,8:30pm,1,Utah Jazz,San Antonio Spurs,1,AT&T Center
29-Jan-20,10:00pm,1,Houston Rockets,Portland Trail Blazers,2,Moda Center
29-Jan-20,10:00pm,1,Oklahoma City Thunder,Sacramento Kings,1,Golden 1 Center
30-Jan-20,7:00pm,1,Toronto Raptors,Cleveland Cavaliers,1,Rocket Mortgage FieldHouse
30-Jan-20,7:00pm,1,Charlotte Hornets,Washington Wizards,1,Capital One Arena
30-Jan-20,7:30pm,1,Philadelphia 76ers,Atlanta Hawks,1,State Farm Arena
30-Jan-20,8:00pm,1,Golden State Warriors,Boston Celtics,1,TD Garden
30-Jan-20,10:30pm,0,Utah Jazz,Denver Nuggets,1,Pepsi Center
30-Jan-20,10:30pm,0,Sacramento Kings,Los Angeles Clippers,1,Staples Center
31-Jan-20,7:00pm,0,Toronto Raptors,Detroit Pistons,1,Little Caesars Arena
31-Jan-20,7:30pm,1,Chicago Bulls,Brooklyn Nets,1,Barclays Center
31-Jan-20,8:00pm,2,Dallas Mavericks,Houston Rockets,1,Toyota Center
31-Jan-20,8:00pm,1,Memphis Grizzlies,New Orleans Pelicans,2,Smoothie King Center
31-Jan-20,9:00pm,0,Denver Nuggets,Milwaukee Bucks,2,Fiserv Forum
31-Jan-20,9:00pm,1,Oklahoma City Thunder,Phoenix Suns,2,Talking Stick Resort Arena
31-Jan-20,10:30pm,1,Portland Trail Blazers,Los Angeles Lakers,2,Staples Center
1-Feb-20,3:30pm,4,Minnesota Timberwolves,Los Angeles Clippers,1,Staples Center
1-Feb-20,7:00pm,2,New York Knicks,Indiana Pacers,2,Bankers Life Fieldhouse
1-Feb-20,7:00pm,3,Miami Heat,Orlando Magic,4,Amway Center
1-Feb-20,8:00pm,1,Golden State Warriors,Cleveland Cavaliers,1,Rocket Mortgage FieldHouse
1-Feb-20,8:00pm,0,Brooklyn Nets,Washington Wizards,1,Capital One Arena
1-Feb-20,8:30pm,1,Philadelphia 76ers,Boston Celtics,1,TD Garden
1-Feb-20,8:30pm,1,Atlanta Hawks,Dallas Mavericks,0,American Airlines Center
1-Feb-20,9:00pm,1,Charlotte Hornets,San Antonio Spurs,2,AT&T Center
1-Feb-20,10:00pm,1,Utah Jazz,Portland Trail Blazers,0,Moda Center
1-Feb-20,10:00pm,0,Los Angeles Lakers,Sacramento Kings,1,Golden 1 Center
2-Feb-20,12:30pm,1,Denver Nuggets,Detroit Pistons,1,Little Caesars Arena
2-Feb-20,2:00pm,1,New Orleans Pelicans,Houston Rockets,1,Toyota Center
2-Feb-20,2:00pm,1,Phoenix Suns,Milwaukee Bucks,1,Fiserv Forum
2-Feb-20,3:00pm,1,Chicago Bulls,Toronto Raptors,1,Scotiabank Arena
3-Feb-20,7:00pm,1,Orlando Magic,Charlotte Hornets,1,Spectrum Center
3-Feb-20,7:00pm,1,New York Knicks,Cleveland Cavaliers,1,Rocket Mortgage FieldHouse
3-Feb-20,7:00pm,1,Dallas Mavericks,Indiana Pacers,1,Bankers Life Fieldhouse
3-Feb-20,7:00pm,1,Golden State Warriors,Washington Wizards,1,Capital One Arena
3-Feb-20,7:30pm,1,Boston Celtics,Atlanta Hawks,1,State Farm Arena
3-Feb-20,7:30pm,0,Phoenix Suns,Brooklyn Nets,1,Barclays Center
3-Feb-20,7:30pm,1,Philadelphia 76ers,Miami Heat,1,American Airlines Arena
3-Feb-20,8:00pm,0,Detroit Pistons,Memphis Grizzlies,2,FedExForum
3-Feb-20,10:00pm,1,Minnesota Timberwolves,Sacramento Kings,1,Golden 1 Center
3-Feb-20,10:30pm,1,San Antonio Spurs,Los Angeles Clippers,1,Staples Center
4-Feb-20,7:30pm,1,Milwaukee Bucks,New Orleans Pelicans,1,Smoothie King Center
4-Feb-20,8:00pm,0,Charlotte Hornets,Houston Rockets,1,Toyota Center
4-Feb-20,10:00pm,2,Portland Trail Blazers,Denver Nuggets,1,Pepsi Center
4-Feb-20,10:30pm,0,San Antonio Spurs,Los Angeles Lakers,2,Staples Center
5-Feb-20,7:00pm,1,Phoenix Suns,Detroit Pistons,1,Little Caesars Arena
5-Feb-20,7:30pm,1,Orlando Magic,Boston Celtics,1,TD Garden
5-Feb-20,7:30pm,1,Golden State Warriors,Brooklyn Nets,1,Barclays Center
5-Feb-20,7:30pm,1,Indiana Pacers,Toronto Raptors,2,Scotiabank Arena
5-Feb-20,8:00pm,1,Atlanta Hawks,Minnesota Timberwolves,1,Target Center
5-Feb-20,8:00pm,1,Cleveland Cavaliers,Oklahoma City Thunder,4,Chesapeake Energy Arena
5-Feb-20,8:30pm,1,Memphis Grizzlies,Dallas Mavericks,1,American Airlines Center
5-Feb-20,10:00pm,0,Denver Nuggets,Utah Jazz,3,Vivint Smart Home Arena
5-Feb-20,10:30pm,1,Miami Heat,Los Angeles Clippers,1,Staples Center
6-Feb-20,7:30pm,0,Orlando Magic,New York Knicks,2,Madison Square Garden
6-Feb-20,8:00pm,1,New Orleans Pelicans,Chicago Bulls,3,United Center
6-Feb-20,8:00pm,2,Philadelphia 76ers,Milwaukee Bucks,1,Fiserv Forum
6-Feb-20,10:00pm,1,San Antonio Spurs,Portland Trail Blazers,1,Moda Center
6-Feb-20,10:30pm,1,Houston Rockets,Los Angeles Lakers,1,Staples Center
7-Feb-20,7:00pm,1,Memphis Grizzlies,Philadelphia 76ers,0,Wells Fargo Center
7-Feb-20,7:00pm,1,Dallas Mavericks,Washington Wizards,3,Capital One Arena
7-Feb-20,7:30pm,1,Atlanta Hawks,Boston Celtics,1,TD Garden
7-Feb-20,8:00pm,1,Toronto Raptors,Indiana Pacers,1,Bankers Life Fieldhouse
7-Feb-20,8:00pm,1,Detroit Pistons,Oklahoma City Thunder,1,Chesapeake Energy Arena
7-Feb-20,9:00pm,0,Houston Rockets,Phoenix Suns,1,Talking Stick Resort Arena
7-Feb-20,10:00pm,1,Miami Heat,Sacramento Kings,3,Golden 1 Center
7-Feb-20,10:30pm,0,Portland Trail Blazers,Utah Jazz,1,Vivint Smart Home Arena
8-Feb-20,5:00pm,1,Milwaukee Bucks,Orlando Magic,1,Amway Center
8-Feb-20,7:00pm,0,Dallas Mavericks,Charlotte Hornets,3,Spectrum Center
8-Feb-20,7:00pm,1,New York Knicks,Detroit Pistons,0,Little Caesars Arena
8-Feb-20,7:30pm,1,New Orleans Pelicans,Indiana Pacers,0,Bankers Life Fieldhouse
8-Feb-20,7:30pm,2,Brooklyn Nets,Toronto Raptors,0,Scotiabank Arena
8-Feb-20,8:00pm,2,Los Angeles Clippers,Minnesota Timberwolves,2,Target Center
8-Feb-20,8:30pm,1,Los Angeles Lakers,Golden State Warriors,2,Chase Center
8-Feb-20,9:00pm,2,Denver Nuggets,Phoenix Suns,0,Talking Stick Resort Arena
8-Feb-20,10:00pm,1,San Antonio Spurs,Sacramento Kings,0,Golden 1 Center
9-Feb-20,3:30pm,1,Boston Celtics,Oklahoma City Thunder,1,Chesapeake Energy Arena
9-Feb-20,6:00pm,0,New York Knicks,Atlanta Hawks,1,State Farm Arena
9-Feb-20,6:00pm,2,Chicago Bulls,Philadelphia 76ers,1,Wells Fargo Center
9-Feb-20,6:00pm,1,Memphis Grizzlies,Washington Wizards,1,Capital One Arena
9-Feb-20,7:00pm,1,Utah Jazz,Houston Rockets,1,Toyota Center
9-Feb-20,7:30pm,0,Los Angeles Clippers,Cleveland Cavaliers,3,Rocket Mortgage FieldHouse
9-Feb-20,9:00pm,1,Miami Heat,Portland Trail Blazers,1,Moda Center
10-Feb-20,7:00pm,1,Charlotte Hornets,Detroit Pistons,1,Little Caesars Arena
10-Feb-20,7:00pm,1,Brooklyn Nets,Indiana Pacers,1,Bankers Life Fieldhouse
10-Feb-20,7:00pm,0,Atlanta Hawks,Orlando Magic,1,Amway Center
10-Feb-20,7:30pm,1,Minnesota Timberwolves,Toronto Raptors,1,Scotiabank Arena
10-Feb-20,8:00pm,1,Sacramento Kings,Milwaukee Bucks,1,Fiserv Forum
10-Feb-20,8:30pm,0,Utah Jazz,Dallas Mavericks,1,American Airlines Center
10-Feb-20,9:00pm,1,San Antonio Spurs,Denver Nuggets,1,Pepsi Center
10-Feb-20,10:30pm,0,Miami Heat,Golden State Warriors,1,Chase Center
10-Feb-20,10:30pm,1,Phoenix Suns,Los Angeles Lakers,1,Staples Center
11-Feb-20,7:00pm,1,Los Angeles Clippers,Philadelphia 76ers,1,Wells Fargo Center
11-Feb-20,7:00pm,1,Chicago Bulls,Washington Wizards,1,Capital One Arena
11-Feb-20,8:00pm,1,Portland Trail Blazers,New Orleans Pelicans,2,Smoothie King Center
11-Feb-20,8:00pm,0,San Antonio Spurs,Oklahoma City Thunder,1,Chesapeake Energy Arena
11-Feb-20,9:30pm,1,Boston Celtics,Houston Rockets,1,Toyota Center
12-Feb-20,7:00pm,1,Atlanta Hawks,Cleveland Cavaliers,2,Rocket Mortgage FieldHouse
12-Feb-20,7:00pm,1,Detroit Pistons,Orlando Magic,1,Amway Center
12-Feb-20,7:30pm,1,Toronto Raptors,Brooklyn Nets,1,Barclays Center
12-Feb-20,7:30pm,1,Milwaukee Bucks,Indiana Pacers,1,Bankers Life Fieldhouse
12-Feb-20,7:30pm,0,Washington Wizards,New York Knicks,2,Madison Square Garden
12-Feb-20,8:00pm,0,Portland Trail Blazers,Memphis Grizzlies,2,FedExForum
12-Feb-20,8:00pm,1,Charlotte Hornets,Minnesota Timberwolves,1,Target Center
12-Feb-20,8:30pm,1,Sacramento Kings,Dallas Mavericks,1,American Airlines Center
12-Feb-20,9:00pm,1,Golden State Warriors,Phoenix Suns,1,Talking Stick Resort Arena
12-Feb-20,9:00pm,1,Miami Heat,Utah Jazz,1,Vivint Smart Home Arena
12-Feb-20,10:00pm,1,Los Angeles Lakers,Denver Nuggets,1,Pepsi Center
13-Feb-20,8:00pm,1,Los Angeles Clippers,Boston Celtics,1,TD Garden
13-Feb-20,8:00pm,1,Oklahoma City Thunder,New Orleans Pelicans,1,Smoothie King Center
20-Feb-20,7:00pm,7,Milwaukee Bucks,Detroit Pistons,7,Little Caesars Arena
20-Feb-20,7:30pm,7,Miami Heat,Atlanta Hawks,7,State Farm Arena
20-Feb-20,8:00pm,7,Charlotte Hornets,Chicago Bulls,8,United Center
20-Feb-20,8:00pm,7,Brooklyn Nets,Philadelphia 76ers,8,Wells Fargo Center
20-Feb-20,10:00pm,7,Memphis Grizzlies,Sacramento Kings,7,Golden 1 Center
20-Feb-20,10:30pm,8,Houston Rockets,Golden State Warriors,7,Chase Center
21-Feb-20,7:00pm,8,Dallas Mavericks,Orlando Magic,8,Amway Center
21-Feb-20,7:00pm,8,Cleveland Cavaliers,Washington Wizards,8,Capital One Arena
21-Feb-20,7:30pm,8,Indiana Pacers,New York Knicks,8,Madison Square Garden
21-Feb-20,7:30pm,8,Phoenix Suns,Toronto Raptors,8,Scotiabank Arena
21-Feb-20,8:00pm,7,Boston Celtics,Minnesota Timberwolves,8,Target Center
21-Feb-20,8:00pm,8,Denver Nuggets,Oklahoma City Thunder,7,Chesapeake Energy Arena
21-Feb-20,9:00pm,9,San Antonio Spurs,Utah Jazz,8,Vivint Smart Home Arena
21-Feb-20,10:30pm,0,Memphis Grizzlies,Los Angeles Lakers,8,Staples Center
21-Feb-20,10:30pm,7,New Orleans Pelicans,Portland Trail Blazers,8,Moda Center
22-Feb-20,3:30pm,1,Sacramento Kings,Los Angeles Clippers,8,Staples Center
22-Feb-20,7:00pm,1,Brooklyn Nets,Charlotte Hornets,1,Spectrum Center
22-Feb-20,7:30pm,0,Dallas Mavericks,Atlanta Hawks,1,State Farm Arena
22-Feb-20,8:00pm,0,Phoenix Suns,Chicago Bulls,1,United Center
22-Feb-20,8:00pm,0,Cleveland Cavaliers,Miami Heat,1,American Airlines Arena
22-Feb-20,8:30pm,1,Philadelphia 76ers,Milwaukee Bucks,1,Fiserv Forum
22-Feb-20,9:00pm,1,Houston Rockets,Utah Jazz,0,Vivint Smart Home Arena
23-Feb-20,3:30pm,1,Boston Celtics,Los Angeles Lakers,1,Staples Center
23-Feb-20,6:00pm,1,Minnesota Timberwolves,Denver Nuggets,1,Pepsi Center
23-Feb-20,6:00pm,1,Indiana Pacers,Toronto Raptors,1,Scotiabank Arena
23-Feb-20,7:00pm,1,Washington Wizards,Chicago Bulls,0,United Center
23-Feb-20,7:00pm,1,San Antonio Spurs,Oklahoma City Thunder,1,Chesapeake Energy Arena
23-Feb-20,8:30pm,1,New Orleans Pelicans,Golden State Warriors,2,Chase Center
23-Feb-20,9:00pm,2,Detroit Pistons,Portland Trail Blazers,1,Moda Center
24-Feb-20,7:00pm,1,Miami Heat,Cleveland Cavaliers,1,Rocket Mortgage FieldHouse
24-Feb-20,7:00pm,1,Atlanta Hawks,Philadelphia 76ers,1,Wells Fargo Center
24-Feb-20,7:00pm,1,Milwaukee Bucks,Washington Wizards,0,Capital One Arena
24-Feb-20,7:30pm,2,Orlando Magic,Brooklyn Nets,1,Barclays Center
24-Feb-20,8:00pm,2,New York Knicks,Houston Rockets,1,Toyota Center
24-Feb-20,8:30pm,0,Minnesota Timberwolves,Dallas Mavericks,1,American Airlines Center
24-Feb-20,9:00pm,1,Phoenix Suns,Utah Jazz,1,Vivint Smart Home Arena
24-Feb-20,10:30pm,2,Memphis Grizzlies,Los Angeles Clippers,1,Staples Center
25-Feb-20,7:00pm,2,Charlotte Hornets,Indiana Pacers,1,Bankers Life Fieldhouse
25-Feb-20,7:30pm,0,Milwaukee Bucks,Toronto Raptors,1,Scotiabank Arena
25-Feb-20,8:00pm,1,Oklahoma City Thunder,Chicago Bulls,1,United Center
25-Feb-20,9:00pm,1,Detroit Pistons,Denver Nuggets,1,Pepsi Center
25-Feb-20,10:00pm,1,New Orleans Pelicans,Los Angeles Lakers,1,Staples Center
25-Feb-20,10:00pm,1,Boston Celtics,Portland Trail Blazers,1,Moda Center
25-Feb-20,10:30pm,2,Sacramento Kings,Golden State Warriors,1,Chase Center
26-Feb-20,7:00pm,1,New York Knicks,Charlotte Hornets,0,Spectrum Center
26-Feb-20,7:00pm,1,Philadelphia 76ers,Cleveland Cavaliers,1,Rocket Mortgage FieldHouse
26-Feb-20,7:00pm,1,Brooklyn Nets,Washington Wizards,1,Capital One Arena
26-Feb-20,7:30pm,1,Orlando Magic,Atlanta Hawks,1,State Farm Arena
26-Feb-20,7:30pm,1,Minnesota Timberwolves,Miami Heat,1,American Airlines Arena
26-Feb-20,7:30pm,1,Dallas Mavericks,San Antonio Spurs,2,AT&T Center
26-Feb-20,8:00pm,1,Memphis Grizzlies,Houston Rockets,1,Toyota Center
26-Feb-20,9:00pm,1,Los Angeles Clippers,Phoenix Suns,1,Talking Stick Resort Arena
26-Feb-20,10:00pm,0,Boston Celtics,Utah Jazz,1,Vivint Smart Home Arena
27-Feb-20,7:00pm,0,New York Knicks,Philadelphia 76ers,0,Wells Fargo Center
27-Feb-20,8:00pm,1,Portland Trail Blazers,Indiana Pacers,1,Bankers Life Fieldhouse
27-Feb-20,8:00pm,1,Sacramento Kings,Oklahoma City Thunder,1,Chesapeake Energy Arena
27-Feb-20,10:30pm,1,Los Angeles Lakers,Golden State Warriors,1,Chase Center
28-Feb-20,7:00pm,1,Minnesota Timberwolves,Orlando Magic,1,Amway Center
28-Feb-20,7:30pm,1,Brooklyn Nets,Atlanta Hawks,1,State Farm Arena
28-Feb-20,7:30pm,1,Charlotte Hornets,Toronto Raptors,2,Scotiabank Arena
28-Feb-20,8:00pm,0,Sacramento Kings,Memphis Grizzlies,1,FedExForum
28-Feb-20,8:00pm,1,Dallas Mavericks,Miami Heat,1,American Airlines Arena
28-Feb-20,8:00pm,0,Oklahoma City Thunder,Milwaukee Bucks,2,Fiserv Forum
28-Feb-20,8:00pm,1,Cleveland Cavaliers,New Orleans Pelicans,2,Smoothie King Center
28-Feb-20,9:00pm,2,Detroit Pistons,Phoenix Suns,1,Talking Stick Resort Arena
28-Feb-20,9:00pm,1,Washington Wizards,Utah Jazz,1,Vivint Smart Home Arena
28-Feb-20,10:30pm,2,Denver Nuggets,Los Angeles Clippers,1,Staples Center
29-Feb-20,5:00pm,3,Chicago Bulls,New York Knicks,1,Madison Square Garden
29-Feb-20,7:30pm,1,Portland Trail Blazers,Atlanta Hawks,0,State Farm Arena
29-Feb-20,7:30pm,0,Brooklyn Nets,Miami Heat,0,American Airlines Arena
29-Feb-20,8:00pm,1,Indiana Pacers,Cleveland Cavaliers,0,Rocket Mortgage FieldHouse
29-Feb-20,8:00pm,1,Los Angeles Lakers,Memphis Grizzlies,0,FedExForum
29-Feb-20,8:30pm,2,Houston Rockets,Boston Celtics,2,TD Garden
29-Feb-20,8:30pm,0,Orlando Magic,San Antonio Spurs,2,AT&T Center
29-Feb-20,9:00pm,1,Golden State Warriors,Phoenix Suns,0,Talking Stick Resort Arena
1-Mar-20,1:00pm,1,Milwaukee Bucks,Charlotte Hornets,1,Spectrum Center
1-Mar-20,3:30pm,2,Philadelphia 76ers,Los Angeles Clippers,1,Staples Center
1-Mar-20,3:30pm,1,Dallas Mavericks,Minnesota Timberwolves,1,Target Center
1-Mar-20,6:00pm,1,Toronto Raptors,Denver Nuggets,1,Pepsi Center
1-Mar-20,6:00pm,1,Detroit Pistons,Sacramento Kings,1,Golden 1 Center
1-Mar-20,8:00pm,0,Los Angeles Lakers,New Orleans Pelicans,1,Smoothie King Center
1-Mar-20,8:30pm,1,Washington Wizards,Golden State Warriors,0,Chase Center
2-Mar-20,7:00pm,2,Utah Jazz,Cleveland Cavaliers,1,Rocket Mortgage FieldHouse
2-Mar-20,7:00pm,1,Houston Rockets,New York Knicks,1,Madison Square Garden
2-Mar-20,7:00pm,1,Portland Trail Blazers,Orlando Magic,1,Amway Center
2-Mar-20,7:30pm,1,Memphis Grizzlies,Atlanta Hawks,1,State Farm Arena
2-Mar-20,7:30pm,0,Milwaukee Bucks,Miami Heat,1,American Airlines Arena
2-Mar-20,8:00pm,0,Dallas Mavericks,Chicago Bulls,1,United Center
2-Mar-20,8:30pm,1,Indiana Pacers,San Antonio Spurs,1,AT&T Center
3-Mar-20,7:00pm,0,San Antonio Spurs,Charlotte Hornets,1,Spectrum Center
3-Mar-20,7:30pm,2,Brooklyn Nets,Boston Celtics,2,TD Garden
3-Mar-20,8:00pm,1,Minnesota Timberwolves,New Orleans Pelicans,1,Smoothie King Center
3-Mar-20,8:00pm,1,Los Angeles Clippers,Oklahoma City Thunder,3,Chesapeake Energy Arena
3-Mar-20,9:00pm,1,Golden State Warriors,Denver Nuggets,1,Pepsi Center
3-Mar-20,9:00pm,1,Toronto Raptors,Phoenix Suns,2,Talking Stick Resort Arena
3-Mar-20,10:00pm,1,Philadelphia 76ers,Los Angeles Lakers,1,Staples Center
3-Mar-20,10:00pm,1,Washington Wizards,Sacramento Kings,1,Golden 1 Center
4-Mar-20,7:00pm,0,Boston Celtics,Cleveland Cavaliers,1,Rocket Mortgage FieldHouse
4-Mar-20,7:00pm,0,Oklahoma City Thunder,Detroit Pistons,2,Little Caesars Arena
4-Mar-20,7:00pm,1,Orlando Magic,Miami Heat,1,American Airlines Arena
4-Mar-20,7:30pm,1,Memphis Grizzlies,Brooklyn Nets,0,Barclays Center
4-Mar-20,7:30pm,1,Utah Jazz,New York Knicks,1,Madison Square Garden
4-Mar-20,8:00pm,1,Chicago Bulls,Minnesota Timberwolves,0,Target Center
4-Mar-20,8:30pm,0,New Orleans Pelicans,Dallas Mavericks,1,American Airlines Center
4-Mar-20,9:30pm,1,Indiana Pacers,Milwaukee Bucks,1,Fiserv Forum
4-Mar-20,10:00pm,0,Washington Wizards,Portland Trail Blazers,1,Moda Center
5-Mar-20,7:00pm,1,Denver Nuggets,Charlotte Hornets,1,Spectrum Center
5-Mar-20,8:00pm,1,Los Angeles Clippers,Houston Rockets,2,Toyota Center
5-Mar-20,10:00pm,1,Philadelphia 76ers,Sacramento Kings,1,Golden 1 Center
5-Mar-20,10:30pm,1,Toronto Raptors,Golden State Warriors,1,Chase Center
6-Mar-20,7:00pm,3,Atlanta Hawks,Washington Wizards,1,Capital One Arena
6-Mar-20,7:30pm,2,San Antonio Spurs,Brooklyn Nets,1,Barclays Center
6-Mar-20,7:30pm,1,Oklahoma City Thunder,New York Knicks,1,Madison Square Garden
6-Mar-20,8:00pm,1,Utah Jazz,Boston Celtics,1,TD Garden
6-Mar-20,8:00pm,1,Indiana Pacers,Chicago Bulls,1,United Center
6-Mar-20,8:00pm,1,Orlando Magic,Minnesota Timberwolves,1,Target Center
6-Mar-20,8:00pm,1,Miami Heat,New Orleans Pelicans,1,Smoothie King Center
6-Mar-20,8:30pm,1,Memphis Grizzlies,Dallas Mavericks,1,American Airlines Center
6-Mar-20,9:00pm,1,Portland Trail Blazers,Phoenix Suns,2,Talking Stick Resort Arena
6-Mar-20,10:30pm,1,Milwaukee Bucks,Los Angeles Lakers,2,Staples Center
7-Mar-20,5:00pm,1,Houston Rockets,Charlotte Hornets,1,Spectrum Center
7-Mar-20,7:00pm,0,Utah Jazz,Detroit Pistons,2,Little Caesars Arena
7-Mar-20,7:30pm,1,Denver Nuggets,Cleveland Cavaliers,2,Rocket Mortgage FieldHouse
7-Mar-20,8:00pm,0,Atlanta Hawks,Memphis Grizzlies,0,FedExForum
7-Mar-20,8:30pm,1,Philadelphia 76ers,Golden State Warriors,1,Chase Center
7-Mar-20,10:00pm,1,Sacramento Kings,Portland Trail Blazers,0,Moda Center
8-Mar-20,3:00pm,1,Chicago Bulls,Brooklyn Nets,1,Barclays Center
8-Mar-20,3:30pm,1,Los Angeles Lakers,Los Angeles Clippers,2,Staples Center
8-Mar-20,3:30pm,1,New Orleans Pelicans,Minnesota Timberwolves,1,Target Center
8-Mar-20,6:00pm,1,Oklahoma City Thunder,Boston Celtics,1,TD Garden
8-Mar-20,6:00pm,1,Milwaukee Bucks,Phoenix Suns,1,Talking Stick Resort Arena
8-Mar-20,7:00pm,1,Indiana Pacers,Dallas Mavericks,1,American Airlines Center
8-Mar-20,7:00pm,1,Orlando Magic,Houston Rockets,0,Toyota Center
8-Mar-20,7:00pm,1,Miami Heat,Washington Wizards,1,Capital One Arena
8-Mar-20,7:30pm,1,San Antonio Spurs,Cleveland Cavaliers,0,Rocket Mortgage FieldHouse
8-Mar-20,7:30pm,0,Detroit Pistons,New York Knicks,1,Madison Square Garden
8-Mar-20,9:00pm,2,Toronto Raptors,Sacramento Kings,0,Golden 1 Center
9-Mar-20,7:30pm,1,Charlotte Hornets,Atlanta Hawks,1,State Farm Arena
9-Mar-20,9:00pm,0,Milwaukee Bucks,Denver Nuggets,1,Pepsi Center
9-Mar-20,9:00pm,0,Toronto Raptors,Utah Jazz,1,Vivint Smart Home Arena
10-Mar-20,7:00pm,1,Boston Celtics,Indiana Pacers,1,Bankers Life Fieldhouse
10-Mar-20,7:00pm,1,New York Knicks,Washington Wizards,1,Capital One Arena
10-Mar-20,8:00pm,1,Cleveland Cavaliers,Chicago Bulls,1,United Center
10-Mar-20,8:00pm,1,Minnesota Timberwolves,Houston Rockets,1,Toyota Center
10-Mar-20,8:00pm,1,Orlando Magic,Memphis Grizzlies,2,FedExForum
10-Mar-20,8:00pm,1,Dallas Mavericks,San Antonio Spurs,1,AT&T Center
10-Mar-20,10:00pm,1,Phoenix Suns,Portland Trail Blazers,2,Moda Center
10-Mar-20,10:30pm,1,Los Angeles Clippers,Golden State Warriors,2,Chase Center
10-Mar-20,10:30pm,1,Brooklyn Nets,Los Angeles Lakers,1,Staples Center
11-Mar-20,7:30pm,0,New York Knicks,Atlanta Hawks,1,State Farm Arena
11-Mar-20,7:30pm,1,Charlotte Hornets,Miami Heat,2,American Airlines Arena
11-Mar-20,7:30pm,2,Detroit Pistons,Philadelphia 76ers,3,Wells Fargo Center
11-Mar-20,8:00pm,1,Utah Jazz,Oklahoma City Thunder,2,Chesapeake Energy Arena
11-Mar-20,8:30pm,1,Denver Nuggets,Dallas Mavericks,0,American Airlines Center
11-Mar-20,10:00pm,2,New Orleans Pelicans,Sacramento Kings,2,Golden 1 Center
12-Mar-20,7:00pm,1,Chicago Bulls,Orlando Magic,1,Amway Center
12-Mar-20,8:00pm,1,Boston Celtics,Milwaukee Bucks,2,Fiserv Forum
12-Mar-20,10:00pm,1,Memphis Grizzlies,Portland Trail Blazers,1,Moda Center
12-Mar-20,10:30pm,1,Brooklyn Nets,Golden State Warriors,1,Chase Center
12-Mar-20,10:30pm,1,Houston Rockets,Los Angeles Lakers,1,Staples Center
13-Mar-20,7:00pm,2,Cleveland Cavaliers,Charlotte Hornets,1,Spectrum Center
13-Mar-20,7:30pm,2,Washington Wizards,Boston Celtics,0,TD Garden
13-Mar-20,8:00pm,1,New York Knicks,Miami Heat,1,American Airlines Arena
13-Mar-20,8:00pm,2,Minnesota Timberwolves,Oklahoma City Thunder,1,Chesapeake Energy Arena
13-Mar-20,8:30pm,1,Denver Nuggets,San Antonio Spurs,2,AT&T Center
13-Mar-20,9:00pm,1,New Orleans Pelicans,Utah Jazz,1,Vivint Smart Home Arena
13-Mar-20,10:30pm,0,Brooklyn Nets,Los Angeles Clippers,2,Staples Center
14-Mar-20,2:00pm,3,Phoenix Suns,Dallas Mavericks,2,American Airlines Center
14-Mar-20,7:30pm,0,Cleveland Cavaliers,Atlanta Hawks,2,State Farm Arena
14-Mar-20,7:30pm,3,Indiana Pacers,Philadelphia 76ers,2,Wells Fargo Center
14-Mar-20,7:30pm,2,Detroit Pistons,Toronto Raptors,4,Scotiabank Arena
14-Mar-20,8:00pm,1,Chicago Bulls,Miami Heat,0,American Airlines Arena
14-Mar-20,8:30pm,1,Golden State Warriors,Milwaukee Bucks,1,Fiserv Forum
14-Mar-20,8:30pm,0,Minnesota Timberwolves,San Antonio Spurs,0,AT&T Center
14-Mar-20,9:00pm,1,Memphis Grizzlies,Utah Jazz,0,Vivint Smart Home Arena
14-Mar-20,10:30pm,0,New Orleans Pelicans,Los Angeles Clippers,0,Staples Center
15-Mar-20,3:30pm,2,Houston Rockets,Portland Trail Blazers,2,Moda Center
15-Mar-20,6:00pm,1,Charlotte Hornets,Orlando Magic,2,Amway Center
15-Mar-20,6:00pm,1,Oklahoma City Thunder,Washington Wizards,1,Capital One Arena
15-Mar-20,8:00pm,1,Boston Celtics,Chicago Bulls,0,United Center
15-Mar-20,9:00pm,1,Denver Nuggets,Los Angeles Lakers,2,Staples Center
15-Mar-20,9:00pm,1,Brooklyn Nets,Sacramento Kings,3,Golden 1 Center
16-Mar-20,7:00pm,0,Washington Wizards,Philadelphia 76ers,1,Wells Fargo Center
16-Mar-20,8:00pm,1,Miami Heat,Milwaukee Bucks,1,Fiserv Forum
16-Mar-20,8:00pm,1,Atlanta Hawks,New Orleans Pelicans,1,Smoothie King Center
16-Mar-20,8:00pm,1,Golden State Warriors,Toronto Raptors,1,Scotiabank Arena
16-Mar-20,8:30pm,1,Memphis Grizzlies,San Antonio Spurs,1,AT&T Center
16-Mar-20,9:00pm,0,Los Angeles Lakers,Utah Jazz,1,Vivint Smart Home Arena
16-Mar-20,10:30pm,1,Dallas Mavericks,Los Angeles Clippers,1,Staples Center
